family,ventas_total,venta_media,venta_mediana,promociones_media,pct_demanda_alta,tiendas_con_ventas
AUTOMOTIVE,554822.0,6.101236,5.0,0.05259743116037653,0.24242324272015484,54
BABY CARE,10051.0,0.11052828,0.0,0.0005828274830650127,0.05868962787015043,54
BEAUTY,337893.0,3.715723,2.0,0.14826911234274653,0.23402172956804787,54
BEVERAGES,2.1695448e+08,2385.793,1784.0,9.973585818597694,0.24994501627518254,54
BOOKS,6438.0,0.07079704,0.0,0.0,0.030449986803906044,54
BREAD/BAKERY,4.2133944e+07,463.33624,401.0,3.6431006422099057,0.24980205859065716,54
CELEBRATION,761177.0,8.370469,3.0,0.07393111638954869,0.24012492302278526,54
CLEANING,9.752129e+07,1072.4167,938.0,7.270574909826691,0.24983504882554763,54
DAIRY,6.4487708e+07,709.1549,520.0,8.013405032110496,0.24961511392627783,54
DELI,2.4110322e+07,265.13507,218.9715,6.414577285123603,0.2499890032550365,54
EGGS,1.5588296e+07,171.42052,131.0,2.143507521773555,0.24860341338963668,54
FROZEN FOODS,1.4073888e+07,154.76695,83.0,1.381565056743204,0.25,54
GROCERY I,3.4346272e+08,3776.972,3185.0,21.05657825283716,0.2499890032550365,54
GROCERY II,1.962767e+06,21.584047,12.0,0.08079308524676695,0.24310504090789126,54
HARDWARE,103470.0,1.1378332,1.0,0.0017924694290490015,0.14917084542975279,54
HOME AND KITCHEN I,1.861491e+06,20.470343,12.0,0.5159782704319521,0.24350092372657695,54
HOME AND KITCHEN II,1.52067e+06,16.72242,9.0,0.36084718923198733,0.24395179027008004,54
HOME APPLIANCES,41601.0,0.45747557,0.0,0.0006378112078824668,0.10760314946775755,54
HOME CARE,1.6022744e+07,176.19803,143.0,2.168888009149292,0.24874637107416206,54
LADIESWEAR,651159.0,7.1606293,0.0,0.018474531538664556,0.24683293745051466,54
LAWN AND GARDEN,548842.0,6.0354757,1.0,0.12325151755080496,0.237452713996657,54
LINGERIE,653114.0,7.182128,5.0,0.03095583707222662,0.22624703087885986,54
"LIQUOR,WINE,BEER",7.74664e+06,85.18783,47.0,0.5135479897950207,0.2493841822820445,54
MAGAZINES,266359.0,2.929082,0.0,0.0032660332541567696,0.23181138383038621,54
MEATS,3.1086468e+07,341.84998,224.9365,3.343318377760183,0.25,54
PERSONAL CARE,2.4592052e+07,270.43253,222.0,2.7154042403448577,0.24983504882554763,54
PET SUPPLIES,356584.0,3.9212632,0.0,0.03573942113134512,0.22237617665171108,54
PLAYERS AND ELECTRONICS,562608.0,6.1868567,2.0,0.020607900061581773,0.24132356822380574,54
POULTRY,3.1876004e+07,350.5323,205.74301,2.489893991378552,0.25,54
PREPARED FOODS,8.799895e+06,96.7702,63.96,0.412641858010029,0.25,54
PRODUCE,1.2270469e+08,1349.3522,398.2905,12.293492126330607,0.25,54
SCHOOL AND OFFICE SUPPLIES,269316.0,2.9615993,0.0,0.1601675903932436,0.18692267088941672,54
SEAFOOD,2.0154319e+06,22.16319,8.0,0.429444884314243,0.25,54
