cluster,filas,ventas_total,media_sales
14,222288,1.5743053e+08,708.2277
6,333432,1.1425438e+08,342.6617
8,166716,1.0792825e+08,647.37787
11,166716,1.0061427e+08,603.507
10,333432,8.532443e+07,255.89755
3,389004,7.56287e+07,194.41626
13,222288,7.210225e+07,324.3641
5,55572,6.208755e+07,1117.2452
15,277860,5.5296948e+07,199.0101
1,166716,5.437675e+07,326.16397
4,166716,4.9443444e+07,296.57288
17,55572,3.291149e+07,592.2315
9,111144,3.0561082e+07,274.96835
2,111144,2.8916404e+07,260.17062
12,55572,1.803097e+07,324.46143
7,111144,1.547812e+07,139.26186
16,55572,1.3259376e+07,238.59814
