store_nbr,filas,ventas_total,media,mediana,maximo
44,55572,6.208755e+07,1117.2452,75.0,46271.0
45,55572,5.4498012e+07,980.67395,62.0,76090.0
47,55572,5.094831e+07,916.7982,51.0,23024.0
3,55572,5.048191e+07,908.4055,64.0,21858.0
49,55572,4.3420096e+07,781.33044,48.0,21190.0
46,55572,4.1896064e+07,753.906,36.0,25238.0
48,55572,3.5933132e+07,646.605,30.0,22255.0
51,55572,3.291149e+07,592.2315,27.0,14179.0
8,55572,3.0494286e+07,548.73474,39.0,13511.0
50,55572,2.865302e+07,515.60175,32.0,14431.0
11,55572,2.8325558e+07,509.70917,15.0,20891.557
7,55572,2.695205e+07,484.99335,27.2425,12907.0
9,55572,2.6409442e+07,475.22928,18.0,38422.625
6,55572,2.518368e+07,453.1721,29.0,12878.0
24,55572,2.3767732e+07,427.69257,19.0,35828.0
2,55572,2.1557388e+07,387.91815,23.217,124717.0
39,55572,2.0252192e+07,364.43158,16.0,89576.36
37,55572,1.9970636e+07,359.36508,23.0,11530.0
27,55572,1.9188022e+07,345.2822,18.0,14396.0
4,55572,1.89097e+07,340.27386,19.0,8969.0
38,55572,1.886e+07,339.37955,22.0,13531.0
40,55572,1.8395758e+07,331.02567,9.0,17114.078
28,55572,1.8383154e+07,330.79886,10.0,16542.902
17,55572,1.803097e+07,324.46143,10.0,11737.0
31,55572,1.7746872e+07,319.34918,10.0,31851.158
34,55572,1.7090734e+07,307.54218,10.0,22125.0
43,55572,1.6391692e+07,294.96313,7.0,12143.201
5,55572,1.5592405e+07,280.58023,19.0,8216.62
36,55572,1.5322431e+07,275.72214,5.0,12774.617
41,55572,1.4991039e+07,269.75885,16.0,11371.0
33,55572,1.4178501e+07,255.1375,9.0,9040.0
1,55572,1.4145013e+07,254.5349,19.0,9065.0
18,55572,1.3259376e+07,238.59814,8.0,12473.0
19,55572,1.304951e+07,234.82167,8.0,8351.0
20,55572,1.2920955e+07,232.50836,0.0,87438.516
23,55572,1.1651381e+07,209.6628,13.0,6201.722
15,55572,1.145127e+07,206.06186,8.0,12669.0
25,55572,1.1420998e+07,205.51714,9.0,11097.0
14,55572,1.1387919e+07,204.92189,6.0,8496.0
53,55572,1.1216167e+07,201.83127,3.0,8443.0
54,55572,1.1057483e+07,198.9758,6.0,17614.0
16,55572,1.0986413e+07,197.69691,6.0,11377.0
12,55572,1.0659218e+07,191.80914,6.0,11609.557
13,55572,1.0523046e+07,189.35878,6.0,8294.0
29,55572,9.725158e+06,175.00104,0.0,14380.789
10,55572,9.613906e+06,172.9991,5.0,10801.0
21,55572,9.255506e+06,166.5498,0.0,13924.218
42,55572,8.945768e+06,160.97618,0.0,13494.0
26,55572,7.755122e+06,139.55089,5.0,34454.0
35,55572,7.6766795e+06,138.13934,3.0,45361.0
30,55572,7.3820735e+06,132.838,5.0,10392.0
32,55572,5.951796e+06,107.100624,3.0,20602.0
22,55572,4.0902018e+06,73.601845,0.0,8909.0
52,55572,2.6961698e+06,48.516693,0.0,10462.0
