family,filas,ventas_total,media,mediana,maximo,desv,coef_variacion,pct_ceros
GROCERY I,90936,3.4346272e+08,3776.972,3185.0,124717.0,2874.2087,0.7609823,8.06281340723146
BEVERAGES,90936,2.1695448e+08,2385.793,1784.0,25413.0,2307.8823,0.9673439,8.061713732735111
PRODUCE,90936,1.2270469e+08,1349.3522,398.2905,17850.615,2186.4814,1.6203935,28.355106888361043
CLEANING,90936,9.752129e+07,1072.4167,938.0,11377.0,734.6815,0.68507093,8.061713732735111
DAIRY,90936,6.4487708e+07,709.1549,520.0,5636.0,671.94965,0.94753575,8.061713732735111
BREAD/BAKERY,90936,4.2133944e+07,463.33624,401.0,4551.298,368.24637,0.7947714,8.060614058238762
POULTRY,90936,3.1876004e+07,350.5323,205.74301,12143.201,400.51163,1.1425812,8.076009501187649
MEATS,90936,3.1086468e+07,341.84998,224.9365,89576.36,455.9085,1.3336508,8.061713732735111
PERSONAL CARE,90936,2.4592052e+07,270.43253,222.0,7504.0,226.51201,0.8375916,8.065012756224158
DELI,90936,2.4110322e+07,265.13507,218.9715,2118.325,210.41707,0.79362214,8.061713732735111
HOME CARE,90936,1.6022744e+07,176.19803,143.0,2504.0,209.91658,1.1913674,40.90899093868215
EGGS,90936,1.5588296e+07,171.42052,131.0,3110.0,161.82678,0.9440339,8.061713732735111
FROZEN FOODS,90936,1.4073888e+07,154.76695,83.0,14541.55,324.9713,2.0997462,8.091404944136537
PREPARED FOODS,90936,8.799895e+06,96.7702,63.96,912.568,104.695145,1.0818944,8.083707222662092
"LIQUOR,WINE,BEER",90936,7.74664e+06,85.18783,47.0,4821.0,126.55563,1.485607,17.865311867687165
SEAFOOD,90936,2.0154319e+06,22.16319,8.0,274.44,32.62763,1.4721539,19.358669833729216
GROCERY II,90936,1.962767e+06,21.584047,12.0,2931.0,31.062426,1.4391382,12.112914577285123
HOME AND KITCHEN I,90936,1.861491e+06,20.470343,12.0,1935.0,35.967648,1.7570614,34.64524500747779
HOME AND KITCHEN II,90936,1.52067e+06,16.72242,9.0,1568.0,31.298822,1.8716682,34.71342482625143
CELEBRATION,90936,761177.0,8.370469,3.0,1783.0,15.927114,1.9027743,43.63398434063517
LINGERIE,90936,653114.0,7.182128,5.0,1059.0,9.47452,1.31918,16.046450250725787
LADIESWEAR,90936,651159.0,7.1606293,0.0,147.0,13.946301,1.9476362,59.84648544030967
PLAYERS AND ELECTRONICS,90936,562608.0,6.1868567,2.0,269.0,10.5444975,1.7043384,44.88651359197677
AUTOMOTIVE,90936,554822.0,6.101236,5.0,255.0,6.1916904,1.0148256,12.78481569455441
LAWN AND GARDEN,90936,548842.0,6.0354757,1.0,712.0,12.283459,2.0352097,46.784551772675286
PET SUPPLIES,90936,356584.0,3.9212632,0.0,106.0,7.657852,1.9529043,54.61533386117709
BEAUTY,90936,337893.0,3.715723,2.0,136.0,4.7946677,1.2903727,26.282220462743027
SCHOOL AND OFFICE SUPPLIES,90936,269316.0,2.9615993,0.0,1332.0,21.745937,7.3426332,74.08287147004486
MAGAZINES,90936,266359.0,2.929082,0.0,79.0,6.0084925,2.0513227,56.53866455529163
HARDWARE,90936,103470.0,1.1378332,1.0,49.0,1.6380396,1.4396131,47.86223277909738
HOME APPLIANCES,90936,41601.0,0.45747557,0.0,15.0,0.969551,2.1193504,73.51763877892144
BABY CARE,90936,10051.0,0.11052828,0.0,116.0,0.68106437,6.1619015,94.13103721298496
BOOKS,90936,6438.0,0.07079704,0.0,51.0,0.5479806,7.7401624,96.9550013196094
