store_nbr,ventas_total,venta_media,venta_mediana,promociones_media,transacciones_media,pct_demanda_alta,familias_activas,cluster,segmento
1,1.4145013e+07,254.5349,19.0,2.4836248470452746,1516.605106888361,0.16002663211689339,33,13,0
2,2.1557388e+07,387.91815,23.217,2.8458396314690853,1912.0552256532067,0.2928093284387821,33,13,0
3,5.048191e+07,908.4055,64.0,3.1864068235802203,3186.66864608076,0.7214784423810552,33,8,1
4,1.89097e+07,340.27386,19.0,2.7339667458432304,1495.8473871733968,0.2081263945872022,33,9,0
5,1.5592405e+07,280.58023,19.0,2.6878643921399266,1394.2262470308788,0.16143021665586987,33,4,0
6,2.518368e+07,453.1721,29.0,3.054793781040812,1820.6033254156769,0.3712661052328511,33,13,0
7,2.695205e+07,484.99335,27.2425,2.7689303966026055,1779.0932304038004,0.4142193910602462,33,8,0
8,3.0494286e+07,548.73474,39.0,3.053174260418916,2754.1395486935867,0.5417836320449148,33,8,1
9,2.6409442e+07,475.22928,18.0,3.191463326855251,2087.9821852731593,0.3369862520693875,33,6,0
10,9.613906e+06,172.9991,5.0,1.8574641905995826,981.2903800475059,0.023627006406103792,33,15,0
11,2.8325558e+07,509.70917,15.0,3.1272403368602895,2358.959619952494,0.31256748002591234,33,6,0
12,1.0659218e+07,191.80914,6.0,2.1171993090045347,1163.2137767220902,0.038544590801122866,33,15,0
13,1.0523046e+07,189.35878,6.0,1.868890808320737,933.790973871734,0.02627222342186713,33,15,0
14,1.1387919e+07,204.92189,6.0,2.0340459224069676,1358.5807600950118,0.054595839631469086,33,7,0
15,1.145127e+07,206.06186,8.0,2.1649031886561576,1312.290973871734,0.051752681206362915,33,15,0
16,1.0986413e+07,197.69691,6.0,2.054937738429425,869.6543942992874,0.0431332325631613,33,3,0
17,1.803097e+07,324.46143,10.0,2.461275462463111,1363.1146080760095,0.13029943136831498,33,12,0
18,1.3259376e+07,238.59814,8.0,2.412851795868423,1229.9750593824228,0.09855682717915497,33,16,0
19,1.304951e+07,234.82167,8.0,2.0088173900525446,1251.4780285035629,0.06882962643057655,33,15,0
20,1.2920955e+07,232.50836,0.0,2.8316058446699777,844.7381235154394,0.12394731159576765,33,6,0
21,9.255506e+06,166.5498,0.0,2.5923486647952205,500.5290973871734,0.1060066220398762,33,6,0
22,4.0902018e+06,73.601845,0.0,1.791243791837616,299.38004750593825,0.03172460951558339,33,7,0
23,1.1651381e+07,209.6628,13.0,2.3211149499748074,1061.8592636579572,0.0722486144101346,33,9,0
24,2.3767732e+07,427.69257,19.0,2.811721730367811,2118.8871733966744,0.3514359749514144,33,1,0
25,1.1420998e+07,205.51714,9.0,2.043151227236738,902.8277909738717,0.0964694450442669,33,1,0
26,7.755122e+06,139.55089,5.0,2.006370114446124,632.45783847981,0.023950910530482976,33,10,0
27,1.9188022e+07,345.2822,18.0,2.7564240984668538,1476.061163895487,0.21721370474339596,33,1,0
28,1.8383154e+07,330.79886,10.0,2.972720074857842,1162.4667458432305,0.1627258331533866,33,10,0
29,9.725158e+06,175.00104,0.0,2.764557690923487,582.8076009501187,0.0826315410638451,33,10,0
30,7.3820735e+06,132.838,5.0,1.8551788670553515,695.4453681710214,0.021467645576909236,33,3,0
31,1.7746872e+07,319.34918,10.0,2.716691859209674,1369.3847980997625,0.14363348448859137,33,10,0
32,5.951796e+06,107.100624,3.0,1.6182969840927086,632.5570071258908,0.016303174260418916,33,3,0
33,1.4178501e+07,255.1375,9.0,2.449309004534658,1035.0374109263657,0.0941121428057295,33,3,0
34,1.7090734e+07,307.54218,10.0,2.7109155689915787,2294.5475059382425,0.1485280357014324,33,6,0
35,7.6766795e+06,138.13934,3.0,1.9812855394803137,667.3925178147268,0.021089757431800187,33,3,0
36,1.5322431e+07,275.72214,5.0,2.852641618081048,1032.143111638955,0.08117397250413877,33,10,0
37,1.9970636e+07,359.36508,23.0,2.7189771827539047,1473.7048693586698,0.26632116893399554,33,2,0
38,1.886e+07,339.37955,22.0,2.6492298279709208,1702.5249406175772,0.25131361117109335,33,4,0
39,2.0252192e+07,364.43158,16.0,3.1231555459583964,1418.9323040380048,0.23069171525228532,33,6,0
40,1.8395758e+07,331.02567,9.0,2.5202260131001224,1295.2464370546318,0.12616065644569208,33,3,0
41,1.4991039e+07,269.75885,16.0,2.5431692219103144,1047.5926365795724,0.16099834449003095,33,4,0
42,8.945768e+06,160.97618,0.0,2.24339595479738,476.63064133016627,0.11306053408191176,33,2,0
43,1.6391692e+07,294.96313,7.0,2.237457712517095,1295.935866983373,0.08687828402792773,33,10,0
44,6.208755e+07,1117.2452,75.0,3.4630569351471965,4318.938836104513,0.7504858561865688,33,5,1
45,5.4498012e+07,980.67395,62.0,3.4460339739437127,3682.372327790974,0.6917152522853235,33,11,1
46,4.1896064e+07,753.906,36.0,3.431530267040956,3557.0742280285035,0.5996185129201757,33,14,1
47,5.094831e+07,916.7982,51.0,3.468023465054344,3881.122327790974,0.6947923414669258,33,14,1
48,3.5933132e+07,646.605,30.0,3.339199596919312,3033.12648456057,0.4955193262794213,33,14,1
49,4.3420096e+07,781.33044,48.0,3.3242640178507163,2716.213182897862,0.6235694234506586,33,11,1
50,2.865302e+07,515.60175,32.0,3.133142589793421,2603.5890736342044,0.4509825091772835,33,14,1
51,3.291149e+07,592.2315,27.0,2.9255020513927876,1706.4216152019003,0.49420571510832795,33,17,1
52,2.6961698e+06,48.516693,0.0,0.5544878715900093,163.5350356294537,0.04626430576549342,33,11,0
53,1.1216167e+07,201.83127,3.0,3.671201324407975,700.7612826603325,0.10607860073418268,33,13,0
54,1.1057483e+07,198.9758,6.0,2.568271791549701,861.811163895487,0.03960627654214353,33,3,0
